Cycle, Angle, AngleDot, AngleDotDot, Displacement, DisplacementDot, DisplacementDotDot
0, 1.73023, 0, 23.7419, 0, 0, -12.5971
1, 1.05866, -0.586051, -29.3026, 0.00521547, 0.260774, 13.0387
2, -0.292069, -1.17874, -29.6343, 0.0156567, 0.52206, 13.0643
3, -0.955145, -0.578643, 30.0047, 0.020861, 0.260217, -13.0922
4, -0.9379, 0.0150486, 29.6846, 0.0208381, -0.00114443, -13.0681
5, -0.24017, 0.608885, 29.6918, 0.015588, -0.262509, -13.0682
6, 1.14576, 1.20945, 30.0284, 0.00510038, -0.524379, -13.0935
7, 1.85339, 0.617523, -29.5965, -0.000161931, -0.263116, 13.0632
8, 1.8908, 0.0326454, -29.2439, -0.0002102, -0.00241349, 13.0351
9, 1.25847, -0.551809, -29.2227, 0.00495456, 0.258238, 13.0326
10, -0.0507843, -1.14254, -29.5366, 0.0153421, 0.519378, 13.057
11, -0.669776, -0.540173, 30.1185, 0.0204896, 0.257374, -13.1002
12, -0.605288, 0.0562766, 29.8225, 0.0204058, -0.00419148, -13.0783
13, 0.143378, 0.653334, 29.8529, 0.0150898, -0.265798, -13.0803
14, 0.202789, 0.051846, -30.0744, 0.0150126, -0.00385949, 13.0969
15, -0.426401, -0.549072, -30.0459, 0.0201733, 0.258035, 13.0947
16, -0.369431, 0.0497158, 29.9394, 0.0200992, -0.00370409, -13.0869
17, 0.374315, 0.64904, 29.9662, 0.0147896, -0.26548, -13.0888
18, 0.431325, 0.0497513, -29.9644, 0.0147156, -0.00370269, 13.0888
19, -0.197759, -0.54898, -29.9366, 0.0198762, 0.258029, 13.0866
20, -0.138183, 0.0519902, 30.0485, 0.0197987, -0.003871, -13.095
21, 0.6107, 0.653524, 30.0767, 0.0144825, -0.265811, -13.097
22, 0.675444, 0.0564995, -29.8512, 0.0143985, -0.00420061, 13.0805
23, 0.0567858, -0.539881, -29.819, 0.0195456, 0.257355, 13.0778
24, -1.25207, -1.14219, -30.1154, 0.0299327, 0.519353, 13.0999
25, -1.88382, -0.551304, 29.5443, 0.0350961, 0.258169, -13.0592
26, -1.8457, 0.0332604, 29.2282, 0.035046, -0.00250533, -13.0337
27, -1.13734, 0.618164, 29.2452, 0.0297821, -0.263191, -13.0343
28, 0.249319, 1.21009, 29.5961, 0.0192937, -0.524422, -13.0615
29, 0.947854, 0.609587, -30.025, 0.0140427, -0.26255, 13.0936
30, 0.965985, 0.0158221, -29.6882, 0.014019, -0.00118195, 13.0684
31, 0.303942, -0.577741, -29.6782, 0.0192223, 0.260162, 13.0672
32, -1.0456, -1.1777, -29.9979, 0.029662, 0.521987, 13.0913
33, -1.71574, -0.584808, 29.6446, 0.0348752, 0.260657, -13.0665
34, -1.71411, 0.00142838, 29.3118, 0.0348722, -0.000146091, -13.0401
35, -1.04072, 0.587639, 29.3106, 0.0296536, -0.260932, -13.0393
36, 0.312032, 1.1805, 29.643, 0.019209, -0.522232, -13.065
37, 0.977345, 0.580595, -29.9953, 0.0140009, -0.260402, 13.0915
38, 0.962584, -0.0128812, -29.6738, 0.0140198, 0.000943744, 13.0673
39, 0.267612, -0.606477, -29.6798, 0.0192656, 0.26229, 13.0673
40, -1.11526, -1.20678, -30.0153, 0.0297484, 0.524141, 13.0926
41, -1.81949, -0.61456, 29.6112, 0.0350055, 0.262857, -13.0642
42, -1.85312, -0.0293462, 29.2607, 0.0350481, 0.00212939, -13.0364
43, -1.21658, 0.555483, 29.2415, 0.0298771, -0.258551, -13.034
44, 0.0973528, 1.14663, 29.5571, 0.0194827, -0.519721, -13.0585
45, 0.721528, 0.544695, -30.0966, 0.0143277, -0.257749, 13.0986
46, 0.662794, -0.051255, -29.7975, 0.0144033, 0.00377999, 13.0764
47, -0.079482, -0.647758, -29.8251, 0.0197102, 0.265345, 13.0782
48, -0.131809, -0.0456635, 30.1047, 0.0197774, 0.00336216, -13.0991
49, 0.505241, 0.555931, 30.0797, 0.0146058, -0.258582, -13.0972
50, 0.456996, -0.0421015, -29.9016, 0.0146678, 0.00310078, 13.0842
51, -0.277061, -0.640586, -29.9242, 0.0199641, 0.264814, 13.0856
52, -0.323321, -0.0403695, 30.0108, 0.0200235, 0.0029687, -13.0922
53, 0.3177, 0.559397, 29.9883, 0.0148467, -0.25884, -13.0904
54, 0.27137, -0.0404304, -29.9913, 0.0149062, 0.00297579, 13.0908
55, -0.46281, -0.640693, -30.0131, 0.0202026, 0.264821, 13.0923
56, -0.511226, -0.042251, 29.9221, 0.0202647, 0.00310667, -13.0857
57, 0.125573, 0.555712, 29.8982, 0.0150934, -0.258567, -13.0837
58, 0.0729254, -0.0459438, -30.0828, 0.0151611, 0.00338279, 13.0975
59, -0.66974, -0.648098, -30.1077, 0.0204684, 0.265369, 13.0993
60, -0.728918, -0.0516423, 29.8228, 0.0205444, 0.00380053, -13.0784
61, -0.105286, 0.544221, 29.7932, 0.0153901, -0.257716, -13.0758
62, 1.20801, 1.14607, 30.0924, 0.00499651, -0.51968, -13.0982
63, 1.84372, 0.554756, -29.5657, -0.000172806, -0.258466, 13.0607
64, 1.8091, -0.0302074, -29.2482, -0.000128018, 0.0022394, 13.0353
65, 1.10382, -0.615475, -29.2634, 0.00513105, 0.262953, 13.0357
66, -0.28013, -1.20772, -29.6125, 0.0156152, 0.524208, 13.0628
67, -0.976292, -0.607516, 30.0104, 0.0208623, 0.262356, -13.0926
68, -0.992365, -0.0140271, 29.6744, 0.0208825, 0.00100925, -13.0674
69, -0.32856, 0.579279, 29.6653, 0.0156762, -0.260315, -13.0662
70, 1.02248, 1.179, 29.9862, 0.00523377, -0.522123, -13.0904
71, 1.69386, 0.585888, -29.6557, 1.82339e-05, -0.260777, 13.0673
72, 1.69321, -0.000565232, -29.3227, 1.90848e-05, 4.25434e-05, 13.041
73, 1.02057, -0.586984, -29.3209, 0.00523597, 0.260844, 13.0401
74, -0.331652, -1.18004, -29.6528, 0.0156791, 0.522159, 13.0657
75, -0.99665, -0.580321, 29.986, 0.020886, 0.260342, -13.0908
76, -0.98179, 0.0129679, 29.6644, 0.0208662, -0.000989763, -13.0666
77, -0.286933, 0.606377, 29.6705, 0.0156197, -0.262322, -13.0666
78, 1.09561, 1.2065, 30.0061, 0.00513656, -0.524159, -13.0919
79, 1.7993, 0.614085, -29.6207, -0.000120671, -0.262862, 13.0649
80, 1.83216, 0.0286717, -29.2707, -0.000163054, -0.00211912, 13.0371
81, 1.19461, -0.556367, -29.2519, 0.00500849, 0.258577, 13.0348
82, -0.120587, -1.14772, -29.5679, 0.0154038, 0.519764, 13.0593
83, -0.74627, -0.546012, 30.0856, 0.0205599, 0.257806, -13.0979
84, -0.689319, 0.0496995, 29.7856, 0.0204858, -0.0037045, -13.0755
85, 0.0508806, 0.645946, 29.8123, 0.0151808, -0.26525, -13.0773
86, 0.10082, 0.0435808, -30.1183, 0.0151159, -0.00324768, 13.1001
87, -0.538954, -0.558308, -30.0944, 0.0202902, 0.258719, 13.0983
88, -0.493804, 0.0394004, 29.8854, 0.0202314, -0.00294053, -13.083
89, 0.236753, 0.637531, 29.9065, 0.0149389, -0.264627, -13.0843
90, 0.279073, 0.0369309, -30.03, 0.0148838, -0.00275391, 13.0937
91, -0.366374, -0.563258, -30.0095, 0.0200655, 0.259086, 13.092
92, -0.325002, 0.0361037, 29.9681, 0.0200116, -0.00269527, -13.0891
93, 0.403633, 0.635854, 29.9875, 0.0147216, -0.264503, -13.0904
94, 0.445854, 0.0368454, -29.9504, 0.0146666, -0.00274637, 13.0878
95, -0.197859, -0.561746, -29.9296, 0.0198461, 0.258975, 13.086
96, -0.152913, 0.0392229, 30.0485, 0.0197876, -0.00292513, -13.095
97, 0.581179, 0.640616, 30.0697, 0.0144905, -0.264855, -13.0965
98, 0.630807, 0.043309, -29.8653, 0.0144261, -0.0032237, 13.0815
99, -0.00345985, -0.553502, -29.8406, 0.0195933, 0.258364, 13.0794
100, 0.053047, 0.0493115, 30.1407, 0.0195199, -0.00367091, -13.1017
101, -0.58068, -0.553032, -30.1172, 0.0246865, 0.258329, 13.1
102, -0.529944, 0.0442758, 29.8654, 0.0246205, -0.00330031, -13.0815
103, 0.205801, 0.642059, 29.8892, 0.0193213, -0.264961, -13.083
104, 0.252972, 0.0411642, -30.0447, 0.01926, -0.00306609, 13.0947
105, -0.387909, -0.559274, -30.0219, 0.0244358, 0.258792, 13.0929
106, -0.342208, 0.0398816, 29.9578, 0.0243763, -0.00297365, -13.0883
107, 0.390567, 0.639467, 29.9793, 0.019081, -0.264769, -13.0898
108, 0.436786, 0.0403335, -29.9567, 0.0190209, -0.00300324, 13.0883
109, -0.203031, -0.558345, -29.9339, 0.0241954, 0.258724, 13.0864
110, -0.154243, 0.0425748, 30.046, 0.0241319, -0.00317185, -13.0948
111, 0.583675, 0.643955, 30.069, 0.0188299, -0.2651, -13.0964
112, 0.637157, 0.046672, -29.8642, 0.0187605, -0.00347117, 13.0815
113, 0.006814, -0.550078, -29.8375, 0.0239228, 0.258112, 13.0792
114, -1.31427, -1.15286, -30.1391, 0.0343256, 0.520145, 13.1016
115, -1.95893, -0.562577, 29.5141, 0.0395057, 0.259004, -13.057
116, -1.93459, 0.0212419, 29.191, 0.0394734, -0.0016149, -13.0309
117, -1.24101, 0.60526, 29.2009, 0.0342288, -0.262233, -13.0309
118, 0.129694, 1.19617, 29.5455, 0.023761, -0.523388, -13.0577
119, 0.810988, 0.594541, -30.0814, 0.0185323, -0.261436, 13.0976
120, 0.81036, -0.000547965, -29.7545, 0.0185329, 2.96525e-05, 13.0733
121, 0.127826, -0.595623, -29.7537, 0.0237626, 0.261487, 13.0729
122, -1.24413, -1.19726, -30.0818, 0.0342313, 0.523436, 13.0974
123, -1.93888, -0.606284, 29.5487, 0.0394762, 0.262242, -13.0597
124, -1.96439, -0.0222582, 29.2013, 0.0395083, 0.0016047, -13.0319
125, -1.321, 0.561462, 29.186, 0.0343284, -0.258991, -13.0298
126, -0.00138057, 1.15158, 29.5061, 0.0239267, -0.520085, -13.0547
127, 2.00903, 1.75442, 30.1417, 0.00828432, -0.782121, -13.1018
128, 3.35056, 1.1707, -29.1859, -0.00214303, -0.521367, 13.0377
129, 4.03893, 0.600722, -28.4989, -0.00737739, -0.261718, 12.9825
130, 4.08262, 0.0381243, -28.1299, -0.00743193, -0.00272706, 12.9495
131, 3.48226, -0.523912, -28.1018, -0.00230828, 0.256182, 12.9455
132, 2.23061, -1.09227, -28.4179, 0.00800397, 0.515613, 12.9715
133, 0.312908, -1.67351, -29.0622, 0.0235257, 0.776086, 13.0237
134, -2.29226, -2.27344, -29.9964, 0.0442843, 1.03793, 13.0922
135, -4.23134, -1.69216, 29.0641, 0.0598286, 0.777217, -13.0356
136, -5.52716, -1.13082, 28.0669, 0.0701897, 0.518054, -12.9581
137, -6.196, -0.583669, 27.3577, 0.0753927, 0.260148, -12.8953
138, -6.24659, -0.0441468, 26.9761, 0.0754523, 0.00297904, -12.8584
139, -5.67974, 0.494672, 26.9409, 0.0703707, -0.25408, -12.8529
140, -4.48825, 1.03977, 27.2549, 0.0601371, -0.511678, -12.8799
141, -2.65721, 1.59788, 27.9055, 0.0447291, -0.770401, -12.9361
142, -0.164721, 2.17511, 28.8616, 0.0241157, -1.03067, -13.0135
143, 3.01685, 2.77645, 30.0668, -0.00173664, -1.29262, -13.0973
144, 5.53982, 2.2017, -28.7371, -0.022379, -1.03212, 13.0249
145, 7.43434, 1.65328, -27.4212, -0.0378512, -0.773608, 12.9255
146, 8.72487, 1.1262, -26.354, -0.0481909, -0.516986, 12.8311
147, 9.42893, 0.614413, -25.5893, -0.0534278, -0.261846, 12.757
148, 9.55645, 0.111277, -25.1568, -0.0535799, -0.00760478, 12.7121
149, 9.10938, -0.390138, -25.0707, -0.0486517, 0.246408, 12.7007
150, 8.0817, -0.89682, -25.3341, -0.038634, 0.500886, 12.7239
151, 6.45952, -1.41562, -25.9401, -0.0235043, 0.756485, 12.7799
152, 4.22152, -1.95302, -26.8698, -0.00322915, 1.01376, 12.8636
153, 1.33984, -2.51474, -28.0863, 0.0222319, 1.27305, 12.9647
154, -2.21852, -3.10526, -29.5257, 0.0529195, 1.53438, 13.0666
155, -5.10915, -2.52255, 29.1354, 0.0783859, 1.27332, -13.0533
156, -7.36555, -1.96908, 27.6733, 0.0986711, 1.01426, -12.9528
157, -9.01642, -1.44065, 26.4217, 0.113817, 0.75732, -12.847
158, -10.084, -0.93168, 25.4485, 0.123862, 0.502219, -12.755
159, -10.5835, -0.435821, 24.793, 0.128831, 0.248447, -12.6886
160, -10.5219, 0.0536911, 24.4756, 0.128738, -0.00463178, -12.6539
161, -9.89879, 0.543792, 24.5051, 0.123584, -0.25771, -12.6539
